id,x,y,
298,117583.94418313791,-3698678.99131796,
299,117583.94418313791,-3697678.99131796,
300,117583.94418313791,-3696678.99131796,
301,117583.94418313791,-3695678.99131796,
302,117583.94418313791,-3694678.99131796,
303,117583.94418313791,-3693678.99131796,
304,117583.94418313791,-3692678.99131796,
305,117583.94418313791,-3691678.99131796,
306,117583.94418313791,-3690678.99131796,
307,117583.94418313791,-3689678.99131796,
308,117583.94418313791,-3688678.99131796,
309,117583.94418313791,-3687678.99131796,
310,117583.94418313791,-3686678.99131796,
311,117583.94418313791,-3685678.99131796,
312,117583.94418313791,-3684678.99131796,
313,117583.94418313791,-3683678.99131796,
314,117583.94418313791,-3682678.99131796,
315,117583.94418313791,-3681678.99131796,
316,117583.94418313791,-3680678.99131796,
317,117583.94418313791,-3679678.99131796,
318,117583.94418313791,-3678678.99131796,
319,117583.94418313791,-3677678.99131796,
320,117583.94418313791,-3676678.99131796,
321,117583.94418313791,-3675678.99131796,
322,117583.94418313791,-3674678.99131796,
323,117583.94418313791,-3673678.99131796,
324,117583.94418313791,-3672678.99131796,
325,117583.94418313791,-3671678.99131796,
326,117583.94418313791,-3670678.99131796,
327,117583.94418313791,-3669678.99131796,
328,117583.94418313791,-3668678.99131796,
329,118583.94418313791,-3714678.99131796,
330,118583.94418313791,-3713678.99131796,
331,118583.94418313791,-3712678.99131796,
332,118583.94418313791,-3711678.99131796,
333,118583.94418313791,-3710678.99131796,
334,118583.94418313791,-3709678.99131796,
335,118583.94418313791,-3708678.99131796,
336,118583.94418313791,-3707678.99131796,
337,118583.94418313791,-3706678.99131796,
338,118583.94418313791,-3705678.99131796,
339,118583.94418313791,-3704678.99131796,
340,118583.94418313791,-3703678.99131796,
341,118583.94418313791,-3702678.99131796,
342,118583.94418313791,-3701678.99131796,
343,118583.94418313791,-3700678.99131796,
344,118583.94418313791,-3699678.99131796,
345,118583.94418313791,-3698678.99131796,
346,118583.94418313791,-3697678.99131796,
347,118583.94418313791,-3696678.99131796,
348,118583.94418313791,-3695678.99131796,
349,118583.94418313791,-3694678.99131796,
350,118583.94418313791,-3693678.99131796,
351,118583.94418313791,-3692678.99131796,
352,118583.94418313791,-3691678.99131796,
353,118583.94418313791,-3690678.99131796,
354,118583.94418313791,-3689678.99131796,
355,118583.94418313791,-3688678.99131796,
356,118583.94418313791,-3687678.99131796,
357,118583.94418313791,-3686678.99131796,
358,118583.94418313791,-3685678.99131796,
359,118583.94418313791,-3684678.99131796,
360,118583.94418313791,-3683678.99131796,
361,118583.94418313791,-3682678.99131796,
362,118583.94418313791,-3681678.99131796,
363,118583.94418313791,-3680678.99131796,
364,118583.94418313791,-3679678.99131796,
365,118583.94418313791,-3678678.99131796,
366,118583.94418313791,-3677678.99131796,
367,118583.94418313791,-3676678.99131796,
368,118583.94418313791,-3675678.99131796,
369,118583.94418313791,-3674678.99131796,
370,118583.94418313791,-3673678.99131796,
371,118583.94418313791,-3672678.99131796,
372,118583.94418313791,-3671678.99131796,
373,118583.94418313791,-3670678.99131796,
374,118583.94418313791,-3669678.99131796,
375,118583.94418313791,-3668678.99131796,
376,119583.94418313791,-3714678.99131796,
377,119583.94418313791,-3713678.99131796,
378,119583.94418313791,-3712678.99131796,
379,119583.94418313791,-3711678.99131796,
380,119583.94418313791,-3710678.99131796,
381,119583.94418313791,-3709678.99131796,
382,119583.94418313791,-3708678.99131796,
383,119583.94418313791,-3707678.99131796,
384,119583.94418313791,-3706678.99131796,
385,119583.94418313791,-3705678.99131796,
386,119583.94418313791,-3704678.99131796,
387,119583.94418313791,-3703678.99131796,
388,119583.94418313791,-3702678.99131796,
389,119583.94418313791,-3701678.99131796,
390,119583.94418313791,-3700678.99131796,
391,119583.94418313791,-3699678.99131796,
392,119583.94418313791,-3698678.99131796,
393,119583.94418313791,-3697678.99131796,
394,119583.94418313791,-3696678.99131796,
395,119583.94418313791,-3695678.99131796,
396,119583.94418313791,-3694678.99131796,
397,119583.94418313791,-3693678.99131796,
398,119583.94418313791,-3692678.99131796,
399,119583.94418313791,-3691678.99131796,
400,119583.94418313791,-3690678.99131796,
401,119583.94418313791,-3689678.99131796,
402,119583.94418313791,-3688678.99131796,
403,119583.94418313791,-3687678.99131796,
404,119583.94418313791,-3686678.99131796,
405,119583.94418313791,-3685678.99131796,
406,119583.94418313791,-3684678.99131796,
407,119583.94418313791,-3683678.99131796,
408,119583.94418313791,-3682678.99131796,
409,119583.94418313791,-3681678.99131796,
