id,x,y,
1086,131445.76169536516,-3687004.761393628,
1087,131487.76149368205,-3687262.232237525,
1088,131102.1809838268,-3687125.865896313,
1089,142363.52164723453,-3694998.189798018,
1090,143782.24363409218,-3695867.4818667523,
1091,143626.89827465275,-3696004.039700136,
1092,151925.03725814784,-3690561.925635538,
1093,151519.81531658137,-3690842.2580257645,
1094,152083.91980334214,-3691339.627314638,
1095,146749.26997760558,-3709605.052741923,
1096,146758.7483403225,-3708504.7413892923,
1097,131794.2678046771,-3685565.933537941,
1098,132204.2717129044,-3685952.6685479847,
1102,132881.55223075443,-3685480.5318704406,
1104,154461.9885234063,-3709760.189411352,
1107,138772.33486295684,-3695839.0087773725,
1108,148825.4064635745,-3708139.160840942,
1109,136023.87226887041,-3688523.156579462,
1110,130880.24734587707,-3687316.6859972174,
1111,151887.47961894996,-3694969.878465717,
1112,136102.49757644793,-3688696.233878852,
1113,137133.36317853178,-3688627.3836803893,
1114,129500.87823192144,-3691901.3088918026,
1115,128446.59385742454,-3690113.8316731704,
1116,135616.35132254352,-3688794.045065857,
1117,136494.4962446128,-3688641.702489074,
1118,136446.45144416392,-3689303.513731744,
1119,130255.25526610888,-3690274.2244264157,
1120,148776.16937437654,-3705857.4998070328,
1121,128382.91066295888,-3689898.123986127,
1122,130725.98318985359,-3683054.4721564427,
1123,131238.34501113294,-3685545.82652041,
1124,146703.11928023864,-3685391.3056134987,
1125,148327.24486835723,-3702904.6266548214,
1126,148588.37942752376,-3704755.3213107223,
1127,148190.58508072284,-3704388.565143177,
1128,130820.54195601954,-3683986.8436499205,
1129,131154.36781590644,-3684097.390701672,
1130,127573.23488453023,-3691042.444343235,
1132,128750.67463530484,-3683200.605630202,
1136,143512.74160104553,-3699291.498144994,
1137,145965.1152666784,-3696547.534579972,
1138,146200.02794876284,-3696746.0621266346,
1139,146326.1769597323,-3702764.5166777037,
1140,147163.45690974445,-3703396.894544774,
1141,146927.21614265768,-3696112.7775228634,
1142,145123.70296742205,-3704930.873193988,
1143,148780.6315576178,-3702853.4248003657,
1144,150247.9027272944,-3699297.788829579,
1145,145970.72351432964,-3700353.4254767117,
2,149616.246330628,-3704932.7233479954,
3,149104.62981445497,-3702290.0368197085,
4,149473.51583926764,-3699535.012693348,
5,148867.4158340896,-3696124.7783776647,
5006,151837.34231240922,-3708870.1890347507,
5008,129477.12434388381,-3684098.081815768,
5012,146366.87541618937,-3704988.9659938836,
5014,146570.24995463455,-3705401.7498965645,
5020,144982.62996124185,-3695703.4053707076,
5024,149535.09531027568,-3706496.3540767687,
5030,148191.1560474296,-3688524.6556792487,
5040,153077.69923174693,-3709813.369789492,
5042,145558.86199960456,-3696426.9651969858,
5044,129721.15152725934,-3690834.0129102874,
5047,132539.6434943618,-3681999.605096347,
5048,130651.44453121076,-3682672.416885616,
5049,130426.57213362817,-3683179.1544111324,
5055,147576.55286987565,-3705793.0557149206,
5061,141522.7616744566,-3693772.163835859,
5068,147962.7713966618,-3688002.5161754526,
5072,140263.99385001874,-3693551.8736503995,
5076,140929.0262748807,-3693555.1510494035,
5089,132960.76753177884,-3688386.618651022,
5098,151302.3729534182,-3688971.0512228096,
5100,146682.0122670987,-3699042.1713099675,
5105,149264.8193367886,-3688733.861883766,
5107,131936.92532360347,-3684822.3251664555,
5113,146209.52322465653,-3703112.9296266595,
5120,147309.67641197817,-3701872.4032142954,
5123,146163.59105517372,-3706519.1975787845,
5128,146825.9492574166,-3685376.4927138523,
5134,130032.88906545487,-3683539.5104547744,
5135,132416.0062068467,-3681903.019653715,
5137,131709.8137634316,-3681636.4038275904,
5139,131692.99026395968,-3681678.853952072,
5140,131529.17290601484,-3681595.9948603013,
5143,139707.10855680992,-3703670.868269158,
